               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 115,            0.016699,           0.0096125,            0.043548,             0.59814,             0.60291,             0.69369,              0.5269,           0.0069332,           0.0029024,            0.018916,            0.008119,            0.008119,            0.008119
                 116,            0.018524,            0.009576,            0.045073,             0.60117,             0.59094,             0.67567,             0.53262,           0.0063114,            0.002756,            0.019624,           0.0081025,           0.0081025,           0.0081025
                 117,            0.017435,           0.0094274,             0.04527,             0.66878,             0.54351,             0.68127,             0.51455,           0.0066945,           0.0027194,            0.018946,            0.008086,            0.008086,            0.008086
                 118,            0.018211,           0.0094778,            0.047545,             0.57035,             0.54717,             0.65377,             0.54116,           0.0058729,           0.0026766,            0.019543,           0.0080695,           0.0080695,           0.0080695
                 119,            0.018483,           0.0095502,              0.0457,             0.54859,             0.61447,             0.72246,             0.55122,           0.0065074,           0.0028449,            0.018821,            0.008053,            0.008053,            0.008053
                 120,            0.017233,           0.0097455,            0.042759,             0.55268,             0.63378,             0.68868,             0.55467,           0.0068169,           0.0028182,            0.019036,           0.0080365,           0.0080365,           0.0080365
                 121,            0.017745,           0.0093673,            0.043398,             0.56054,             0.60128,             0.68039,              0.5132,           0.0082083,           0.0027843,            0.019934,             0.00802,             0.00802,             0.00802
                 122,            0.020472,           0.0090931,            0.045942,             0.60317,             0.61404,             0.74676,             0.55072,           0.0080622,           0.0028252,            0.017516,           0.0080035,           0.0080035,           0.0080035
                 123,            0.019238,           0.0092323,            0.044916,             0.61459,             0.67993,             0.73381,              0.5729,           0.0061691,           0.0028695,            0.017292,            0.007987,            0.007987,            0.007987
                 124,            0.020249,           0.0094759,            0.043302,             0.57054,             0.65041,             0.73343,             0.56622,           0.0065608,           0.0028607,            0.017549,           0.0079705,           0.0079705,           0.0079705
                 125,            0.020021,           0.0091355,            0.045443,             0.58061,             0.68616,              0.7499,             0.60531,           0.0061496,           0.0030268,            0.017349,            0.007954,            0.007954,            0.007954
                 126,            0.017526,            0.009293,            0.039427,             0.59339,             0.64195,               0.733,             0.58328,           0.0071694,           0.0028115,            0.017347,           0.0079375,           0.0079375,           0.0079375
                 127,            0.016116,             0.00972,            0.041443,             0.61081,             0.67291,             0.73202,             0.58558,            0.006299,           0.0028406,            0.017503,            0.007921,            0.007921,            0.007921
                 128,            0.017138,           0.0093118,            0.040506,             0.55804,             0.67949,             0.77998,             0.65011,           0.0066542,            0.002644,            0.017106,           0.0079045,           0.0079045,           0.0079045
                 129,            0.017366,           0.0090855,            0.038651,             0.62686,             0.62538,             0.74007,              0.5823,           0.0066272,           0.0027564,            0.017053,            0.007888,            0.007888,            0.007888
                 130,            0.017883,           0.0098634,             0.03921,             0.53238,             0.71533,             0.77257,             0.63045,           0.0076398,           0.0026593,            0.016113,           0.0078715,           0.0078715,           0.0078715
                 131,            0.018478,            0.009374,            0.037529,             0.53534,             0.62551,             0.72491,             0.58851,           0.0065952,           0.0027439,            0.017217,            0.007855,            0.007855,            0.007855
                 132,            0.019964,           0.0093332,            0.037859,             0.56739,              0.6612,             0.77463,             0.57796,           0.0076852,           0.0027737,            0.016164,           0.0078385,           0.0078385,           0.0078385
                 133,            0.017492,           0.0088211,            0.037561,             0.58857,             0.64671,             0.74133,             0.57622,           0.0072526,           0.0026688,            0.016952,            0.007822,            0.007822,            0.007822
                 134,            0.018451,           0.0096805,            0.043494,             0.58917,             0.67693,             0.76991,             0.59696,           0.0069454,           0.0027495,            0.016952,           0.0078055,           0.0078055,           0.0078055
                 135,            0.017045,           0.0094574,             0.03607,             0.59976,             0.65062,             0.74514,             0.61274,           0.0061174,           0.0027689,             0.01796,            0.007789,            0.007789,            0.007789
                 136,             0.02023,           0.0094325,            0.039829,             0.53444,              0.7098,             0.76133,              0.5986,            0.006802,           0.0028116,            0.017037,           0.0077725,           0.0077725,           0.0077725
                 137,            0.018375,           0.0097604,            0.036785,             0.62722,             0.64546,             0.78378,             0.64402,           0.0063292,           0.0027114,            0.016038,            0.007756,            0.007756,            0.007756
                 138,            0.018966,           0.0091383,            0.034584,             0.63508,             0.66716,             0.80629,             0.66641,           0.0068194,           0.0028395,            0.015132,           0.0077395,           0.0077395,           0.0077395
                 139,            0.020479,            0.009199,            0.037358,             0.62047,             0.66817,             0.77376,             0.62597,           0.0060977,            0.002891,            0.015548,            0.007723,            0.007723,            0.007723
                 140,            0.018475,           0.0095241,            0.039222,             0.61375,             0.69446,             0.77586,             0.64837,           0.0062896,           0.0027905,            0.015542,           0.0077065,           0.0077065,           0.0077065
                 141,            0.019024,           0.0089959,            0.036823,             0.64678,             0.66794,             0.77499,             0.63222,            0.005539,           0.0026507,            0.015482,             0.00769,             0.00769,             0.00769
                 142,            0.018551,           0.0097678,            0.037116,             0.58813,             0.66017,             0.75304,             0.61807,           0.0057449,           0.0027071,            0.015431,           0.0076735,           0.0076735,           0.0076735
                 143,            0.017571,            0.009443,            0.034765,             0.60578,             0.71835,             0.76775,             0.63844,           0.0061705,           0.0027707,            0.015233,            0.007657,            0.007657,            0.007657
                 144,            0.018255,            0.010015,            0.037401,             0.63121,             0.68252,             0.77069,             0.64035,           0.0059787,           0.0027992,            0.015703,           0.0076405,           0.0076405,           0.0076405
                 145,            0.017842,           0.0091877,            0.035674,             0.57671,             0.69047,             0.77794,             0.65493,           0.0071988,            0.002691,            0.014779,            0.007624,            0.007624,            0.007624
                 146,            0.018036,           0.0094572,            0.036569,             0.60109,             0.69272,             0.76345,             0.63372,           0.0060309,           0.0028017,            0.015864,           0.0076075,           0.0076075,           0.0076075
                 147,            0.019061,           0.0095885,            0.036843,             0.63305,             0.69516,             0.78496,             0.64559,           0.0060834,           0.0025655,            0.014397,            0.007591,            0.007591,            0.007591
                 148,            0.019723,            0.009142,            0.037823,              0.6201,              0.7371,             0.80205,             0.67513,           0.0057458,           0.0027267,            0.014121,           0.0075745,           0.0075745,           0.0075745
                 149,            0.018316,           0.0092994,            0.034934,             0.62701,             0.78513,             0.82201,              0.6801,           0.0063115,           0.0028954,            0.013987,            0.007558,            0.007558,            0.007558
                 150,            0.019483,           0.0092697,            0.034793,             0.65241,             0.69428,             0.77889,             0.63113,           0.0063126,           0.0028072,            0.015087,           0.0075415,           0.0075415,           0.0075415
                 151,            0.019306,           0.0098113,            0.035268,              0.6159,              0.6752,             0.77628,             0.64294,           0.0059646,           0.0027927,            0.015242,            0.007525,            0.007525,            0.007525
                 152,            0.020014,           0.0092039,            0.034972,             0.56423,             0.72378,             0.78839,             0.64582,           0.0057093,           0.0028238,            0.015043,           0.0075085,           0.0075085,           0.0075085
                 153,            0.019322,           0.0092709,            0.034506,             0.60759,             0.66798,             0.76128,             0.61874,           0.0059547,           0.0027233,            0.015433,            0.007492,            0.007492,            0.007492
                 154,            0.019265,           0.0096707,             0.03538,             0.64764,             0.59268,             0.73268,             0.57356,           0.0065253,           0.0028601,            0.015992,           0.0074755,           0.0074755,           0.0074755
                 155,            0.018136,           0.0093959,             0.03256,             0.64577,             0.68137,             0.79263,             0.60598,           0.0066231,           0.0028257,            0.014466,            0.007459,            0.007459,            0.007459
                 156,            0.018371,           0.0092736,            0.033322,             0.62803,             0.73806,             0.80704,             0.64954,           0.0061581,           0.0026583,            0.013981,           0.0074425,           0.0074425,           0.0074425
