                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     53,                0.39576,                0.64639,                 1.0927,                0.67878,                0.79557,                0.86417,                0.76457,                0.61985,                 1.1198,                 1.3593,              5.953e-05,              5.953e-05,              5.953e-05
                     54,                0.39255,                0.65594,                 1.0779,                0.73245,                0.78005,                0.86626,                0.77015,                0.58951,                 1.1061,                 1.3091,             5.9423e-05,             5.9423e-05,             5.9423e-05
                     55,                0.39187,                0.60544,                 1.0783,                0.59783,                 0.8488,                0.87084,                0.77529,                0.59796,                  1.107,                  1.353,             5.9316e-05,             5.9316e-05,             5.9316e-05
                     56,                0.37536,                0.57961,                 1.0722,                0.76353,                0.75736,                0.87618,                 0.7789,                 0.6384,                 1.1308,                 1.4034,             5.9209e-05,             5.9209e-05,             5.9209e-05
                     57,                0.38152,                0.59685,                 1.0764,                0.77429,                0.72886,                 0.8788,                0.77922,                 0.5975,                 1.1063,                 1.3324,             5.9101e-05,             5.9101e-05,             5.9101e-05
                     58,                0.37554,                0.56323,                 1.0593,                 0.6437,                0.82056,                0.87676,                0.77988,                0.60604,                 1.1374,                 1.3459,             5.8994e-05,             5.8994e-05,             5.8994e-05
                     59,                0.35974,                0.57969,                 1.0568,                0.79514,                0.74321,                0.87155,                0.77756,                0.59719,                 1.0966,                  1.331,             5.8887e-05,             5.8887e-05,             5.8887e-05
                     60,                0.37463,                0.57092,                 1.0558,                0.80119,                  0.694,                0.85988,                0.75219,                0.60536,                 1.1585,                 1.3328,             5.8779e-05,             5.8779e-05,             5.8779e-05
                     61,                0.36371,                0.57739,                 1.0605,                0.61328,                0.82862,                0.87098,                0.76211,                 0.6215,                 1.1326,                 1.3927,             5.8672e-05,             5.8672e-05,             5.8672e-05
                     62,                0.38892,                0.57897,                 1.0736,                0.63358,                0.83424,                 0.8557,                0.74475,                0.65135,                 1.1366,                 1.4554,             5.8565e-05,             5.8565e-05,             5.8565e-05
                     63,                0.37348,                0.59591,                 1.0757,                0.71407,                0.79134,                 0.8703,                0.77023,                0.61511,                 1.0728,                 1.3672,             5.8458e-05,             5.8458e-05,             5.8458e-05
                     64,                0.36759,                0.53922,                 1.0672,                0.73844,                0.77498,                0.85441,                0.75962,                0.57832,                 1.0766,                 1.3072,              5.835e-05,              5.835e-05,              5.835e-05
                     65,                0.37171,                0.56156,                 1.0603,                0.73982,                0.73805,                0.84488,                 0.7438,                0.61944,                  1.178,                 1.4118,             5.8243e-05,             5.8243e-05,             5.8243e-05
                     66,                0.35511,                0.54101,                  1.055,                0.84349,                0.67711,                0.86073,                0.75504,                0.61148,                 1.0918,                 1.4207,             5.8136e-05,             5.8136e-05,             5.8136e-05
                     67,                0.35712,                0.54272,                 1.0547,                0.70748,                0.76191,                0.87277,                0.76851,                 0.6212,                 1.1073,                 1.3722,             5.8029e-05,             5.8029e-05,             5.8029e-05
                     68,                0.35245,                0.54404,                 1.0578,                 0.7523,                0.73087,                 0.8631,                0.75347,                0.61749,                 1.0798,                 1.3996,             5.7921e-05,             5.7921e-05,             5.7921e-05
                     69,                0.35173,                0.50278,                 1.0398,                0.67718,                0.76539,                0.83725,                 0.7318,                0.62511,                 1.1103,                 1.4189,             5.7814e-05,             5.7814e-05,             5.7814e-05
                     70,                0.35828,                0.51143,                 1.0496,                0.65318,                0.80035,                0.86088,                0.76426,                0.59143,                 1.1815,                 1.3447,             5.7707e-05,             5.7707e-05,             5.7707e-05
                     71,                 0.3469,                0.52449,                 1.0449,                 0.7902,                0.72529,                0.84929,                 0.7403,                0.65242,                 1.1218,                 1.4386,               5.76e-05,               5.76e-05,               5.76e-05
                     72,                0.35063,                0.50605,                 1.0438,                0.64571,                0.85429,                0.87561,                0.76617,                0.62126,                 1.0947,                 1.3671,             5.7492e-05,             5.7492e-05,             5.7492e-05
                     73,                0.34391,                0.50672,                 1.0476,                 0.7718,                0.74235,                0.87712,                0.77504,                0.60953,                 1.0676,                 1.3638,             5.7385e-05,             5.7385e-05,             5.7385e-05
                     74,                0.33706,                0.48657,                  1.044,                 0.7626,                0.71798,                0.87605,                0.76098,                0.64111,                 1.1061,                 1.4788,             5.7278e-05,             5.7278e-05,             5.7278e-05
                     75,                  0.347,                0.48979,                 1.0424,                0.70161,                0.77884,                0.87937,                0.75835,                0.65559,                 1.0836,                 1.4841,             5.7171e-05,             5.7171e-05,             5.7171e-05
                     76,                0.34416,                0.51439,                 1.0493,                0.74521,                0.74835,                0.88624,                0.77479,                0.63235,                 1.0952,                 1.3699,             5.7063e-05,             5.7063e-05,             5.7063e-05
                     77,                0.34238,                0.51325,                 1.0389,                0.70943,                0.79578,                0.89044,                0.77192,                0.64518,                0.96174,                 1.4324,             5.6956e-05,             5.6956e-05,             5.6956e-05
                     78,                0.32361,                0.45638,                 1.0254,                0.68715,                0.81703,                0.89587,                0.78391,                0.64217,                 1.0294,                 1.4623,             5.6849e-05,             5.6849e-05,             5.6849e-05
                     79,                0.32142,                0.47978,                 1.0235,                0.71515,                0.77463,                0.88844,                0.77618,                0.62138,                 1.1138,                 1.4296,             5.6742e-05,             5.6742e-05,             5.6742e-05
                     80,                 0.3307,                0.49476,                 1.0382,                0.90043,                0.67502,                0.87437,                 0.7724,                0.60412,                 1.0337,                 1.3658,             5.6634e-05,             5.6634e-05,             5.6634e-05
                     81,                0.32668,                0.48464,                 1.0396,                0.63311,                 0.8404,                0.89753,                0.79482,                0.61525,                 1.0684,                 1.3917,             5.6527e-05,             5.6527e-05,             5.6527e-05
                     82,                0.33705,                0.46033,                 1.0332,                0.81916,                0.73072,                0.88328,                0.75052,                0.69227,                   1.09,                 1.5545,              5.642e-05,              5.642e-05,              5.642e-05
                     83,                0.33652,                0.46797,                 1.0396,                0.81983,                 0.7048,                0.87852,                0.76605,                0.61091,                 1.0598,                 1.3873,             5.6313e-05,             5.6313e-05,             5.6313e-05
                     84,                0.32185,                0.46698,                 1.0314,                 0.7758,                0.77798,                 0.8821,                0.77259,                0.61623,                 1.0492,                 1.3901,             5.6205e-05,             5.6205e-05,             5.6205e-05
                     85,                0.31625,                0.47981,                 1.0264,                0.81473,                0.70138,                0.87466,                 0.7692,                0.62153,                 1.1579,                 1.3972,             5.6098e-05,             5.6098e-05,             5.6098e-05
